Hospital Name,State,County,Year,Bladder,Brain,Breast,Colon,Esophagus,Liver,Lung,Pancreas,Prostate,Rectum,Stomach,Total Surgeries for All Cancer Types,National Cancer Institute Designation?
Long Beach Memorial Medical Center,CA,Los Angeles,2014,0,26,239,51,0,4,48,2,14,22,3,409,No
Long Beach Memorial Medical Center,CA,Los Angeles,2015,0,15,176,54,0,6,25,0,9,22,5,312,No
Long Beach Memorial Medical Center,CA,Los Angeles,2016,1,27,266,79,3,9,28,1,20,39,7,480,No
Long Beach Memorial Medical Center,CA,Los Angeles,2017,0,31,227,65,2,7,41,0,19,44,7,443,No
Los Alamitos Medical Center,CA,Orange,2013,1,3,99,19,0,2,9,0,18,8,1,160,No
Los Alamitos Medical Center,CA,Orange,2014,0,8,109,18,0,1,3,1,26,5,4,175,No
Los Alamitos Medical Center,CA,Orange,2015,0,9,96,20,0,2,4,1,24,4,1,161,No
Los Alamitos Medical Center,CA,Orange,2016,4,11,139,22,0,3,1,2,41,13,3,239,No
Los Alamitos Medical Center,CA,Orange,2017,1,10,162,24,0,2,5,0,52,5,1,262,No
Los Angeles Community Hospital,CA,Los Angeles,2013,0,0,1,2,0,0,0,0,0,0,0,3,No
Los Angeles Community Hospital,CA,Los Angeles,2014,1,0,3,7,0,0,0,0,0,1,0,12,No
Los Angeles Community Hospital,CA,Los Angeles,2015,0,0,1,3,0,0,2,0,0,0,0,6,No
Los Angeles Community Hospital,CA,Los Angeles,2016,1,0,1,5,0,0,0,0,2,3,1,13,No
Los Angeles Community Hospital,CA,Los Angeles,2017,0,0,1,4,0,0,0,0,6,4,0,15,No
Los Angeles County/Harbor – UCLA Medical Center,CA,Los Angeles,2013,6,24,116,30,1,6,6,3,23,18,16,249,No
Los Angeles County/Harbor – UCLA Medical Center,CA,Los Angeles,2014,3,14,109,42,1,2,8,5,25,18,6,233,No
Los Angeles County/Harbor – UCLA Medical Center,CA,Los Angeles,2015,1,19,61,11,0,2,7,4,11,12,5,133,No
Los Angeles County/Harbor – UCLA Medical Center,CA,Los Angeles,2016,0,18,89,29,1,4,1,8,22,23,3,198,No
Los Angeles County/Harbor – UCLA Medical Center,CA,Los Angeles,2017,0,14,107,37,0,6,3,4,13,18,8,210,No
Los Angeles County/Olive View – UCLA Medical Center,CA,Los Angeles,2013,12,0,111,35,1,4,5,2,15,12,10,207,Yes
Los Angeles County/Olive View – UCLA Medical Center,CA,Los Angeles,2014,3,0,104,36,2,6,4,2,10,14,17,198,Yes
Los Angeles County/Olive View – UCLA Medical Center,CA,Los Angeles,2015,1,0,81,15,0,10,3,1,10,7,6,134,Yes
Los Angeles County/Olive View – UCLA Medical Center,CA,Los Angeles,2016,4,0,81,16,1,1,4,3,8,14,7,139,Yes
Los Angeles County/Olive View – UCLA Medical Center,CA,Los Angeles,2017,4,0,96,15,3,4,4,1,5,17,7,156,Yes
Los Angeles County/Rancho Los Amigos National Rehabilitation Center,CA,Los Angeles,2016,0,1,0,0,0,0,0,0,0,0,0,1,No
Los Angeles County/University of Southern California Medical Center,CA,Los Angeles,2013,13,63,142,48,2,19,8,15,12,25,14,361,No
Los Angeles County/University of Southern California Medical Center,CA,Los Angeles,2014,10,33,131,45,2,18,9,8,28,21,19,324,No
Los Angeles County/University of Southern California Medical Center,CA,Los Angeles,2015,2,25,105,37,0,9,4,9,19,7,9,226,No
Los Angeles County/University of Southern California Medical Center,CA,Los Angeles,2016,12,47,126,36,0,12,11,7,18,31,5,305,No
Los Angeles County/University of Southern California Medical Center,CA,Los Angeles,2017,5,39,119,40,2,9,9,12,29,27,13,304,No
Los Robles Hospital and Medical Center,CA,Ventura,2013,1,4,173,38,1,4,17,7,41,11,4,301,No
Los Robles Hospital and Medical Center,CA,Ventura,2014,0,7,136,33,0,1,11,6,42,9,1,246,No
Los Robles Hospital and Medical Center,CA,Ventura,2015,2,7,97,33,1,4,11,3,53,9,3,223,No
Los Robles Hospital and Medical Center,CA,Ventura,2016,0,19,96,43,2,4,19,3,41,7,4,238,No
Los Robles Hospital and Medical Center,CA,Ventura,2017,2,17,140,40,0,8,19,6,48,16,1,297,No
Mad River Community Hospital,CA,Humboldt,2013,0,0,3,9,1,0,0,0,0,0,0,13,No
Mad River Community Hospital,CA,Humboldt,2014,0,0,3,5,0,0,0,0,0,1,0,9,No
Mad River Community Hospital,CA,Humboldt,2015,0,0,9,5,0,0,3,0,0,1,1,19,No
Mad River Community Hospital,CA,Humboldt,2016,0,0,7,5,0,0,0,0,0,1,0,13,No
Mad River Community Hospital,CA,Humboldt,2017,0,0,3,1,1,0,0,0,0,1,0,6,No
Madera Community Hospital,CA,Madera,2013,0,0,28,8,0,0,0,0,0,0,0,36,No
Madera Community Hospital,CA,Madera,2014,0,0,16,11,0,0,0,0,0,4,0,31,No
Madera Community Hospital,CA,Madera,2015,0,0,11,9,0,0,0,0,0,0,0,20,No
Madera Community Hospital,CA,Madera,2016,0,0,18,12,0,1,0,0,4,6,0,41,No
Madera Community Hospital,CA,Madera,2017,0,0,14,15,0,4,0,0,0,3,1,37,No
Mammoth Hospital,CA,Mono,2013,0,0,0,0,0,0,0,0,6,0,0,6,No
Mammoth Hospital,CA,Mono,2014,0,0,0,0,0,0,0,0,3,0,0,3,No
Mammoth Hospital,CA,Mono,2015,0,0,0,0,0,0,0,0,3,0,0,3,No
Marian Regional Medical Center,CA,Santa Barbara,2013,0,3,106,23,0,0,4,0,27,2,2,167,No
Marian Regional Medical Center,CA,Santa Barbara,2014,1,6,152,32,0,0,4,0,14,3,1,213,No
Marian Regional Medical Center,CA,Santa Barbara,2015,1,3,138,22,0,0,5,0,25,3,0,197,No
Marian Regional Medical Center,CA,Santa Barbara,2016,5,6,196,41,0,2,3,0,49,9,2,313,No
Marian Regional Medical Center,CA,Santa Barbara,2017,0,7,190,24,0,0,3,0,40,3,3,270,No
Marian Regional Medical Center – Arroyo Grande,CA,San Luis Obispo,2013,0,0,6,11,1,1,8,0,0,3,2,32,No
Marian Regional Medical Center – Arroyo Grande,CA,San Luis Obispo,2014,0,0,0,12,1,0,2,1,0,0,2,18,No
Marian Regional Medical Center – Arroyo Grande,CA,San Luis Obispo,2015,0,0,3,8,0,0,4,0,0,0,1,16,No
Marian Regional Medical Center – Arroyo Grande,CA,San Luis Obispo,2016,0,0,12,11,0,0,8,2,1,1,0,35,No
Marian Regional Medical Center – Arroyo Grande,CA,San Luis Obispo,2017,0,0,6,9,1,0,2,3,0,3,1,25,No
Marin General Hospital,CA,Marin,2013,1,9,137,17,0,1,1,0,22,5,1,194,No
Marin General Hospital,CA,Marin,2014,7,12,138,21,0,1,8,4,25,3,0,219,No
Marin General Hospital,CA,Marin,2015,10,6,141,18,0,2,6,2,13,4,0,202,No
Marin General Hospital,CA,Marin,2016,10,13,191,11,0,0,1,0,43,4,1,274,No
Marin General Hospital,CA,Marin,2017,5,13,142,9,0,0,5,1,26,1,1,203,No
Marina Del Rey Hospital,CA,Los Angeles,2013,0,0,44,10,0,0,2,0,6,2,0,64,No
Marina Del Rey Hospital,CA,Los Angeles,2014,0,0,32,12,0,0,6,0,1,5,1,57,No
Marina Del Rey Hospital,CA,Los Angeles,2015,0,0,20,11,0,0,2,0,1,2,1,37,No
Marina Del Rey Hospital,CA,Los Angeles,2016,0,0,21,6,0,1,3,0,0,3,0,34,No
Marina Del Rey Hospital,CA,Los Angeles,2017,0,0,21,5,0,0,1,0,0,2,0,29,No
Mark Twain Medical Center,CA,Calaveras,2013,0,0,9,2,0,0,0,0,0,0,0,11,No
Mark Twain Medical Center,CA,Calaveras,2014,0,0,15,3,0,0,0,0,0,0,0,18,No
Mark Twain Medical Center,CA,Calaveras,2015,0,0,11,1,0,0,0,0,0,1,0,13,No
Mark Twain Medical Center,CA,Calaveras,2016,0,0,15,3,0,0,0,0,0,0,0,18,No
Mark Twain Medical Center,CA,Calaveras,2017,0,0,4,2,0,0,0,0,0,0,0,6,No
Marshall Medical Center,CA,El Dorado,2013,0,0,45,19,0,0,3,0,1,5,1,74,No
Marshall Medical Center,CA,El Dorado,2014,0,0,32,10,0,0,5,1,11,2,0,61,No
Marshall Medical Center,CA,El Dorado,2015,0,0,22,8,0,0,3,0,3,6,0,42,No
Marshall Medical Center,CA,El Dorado,2016,0,0,51,21,0,3,2,0,15,3,3,98,No
Marshall Medical Center,CA,El Dorado,2017,1,0,55,7,0,1,5,1,13,5,0,88,No
Memorial Hospital Los Banos,CA,Merced,2013,0,0,6,0,0,0,0,0,0,0,0,6,No
Memorial Hospital Los Banos,CA,Merced,2014,0,0,5,0,0,0,0,0,0,0,0,5,No
Memorial Hospital Los Banos,CA,Merced,2015,0,0,1,1,0,0,0,0,0,0,0,2,No
Memorial Hospital Los Banos,CA,Merced,2017,0,0,1,4,0,0,0,0,0,0,0,5,No
Memorial Hospital Medical Center – Modesto,CA,Stanislaus,2013,0,10,134,42,1,0,11,4,7,17,3,229,No
Memorial Hospital Medical Center – Modesto,CA,Stanislaus,2014,0,4,152,37,1,0,14,5,0,12,1,226,No
Memorial Hospital Medical Center – Modesto,CA,Stanislaus,2015,0,3,102,24,0,0,9,1,1,9,2,151,No
Memorial Hospital Medical Center – Modesto,CA,Stanislaus,2016,0,10,111,49,2,4,12,4,3,20,2,217,No
Memorial Hospital Medical Center – Modesto,CA,Stanislaus,2017,1,13,150,42,1,2,9,6,4,17,2,247,No
Memorial Hospital of Gardena,CA,Los Angeles,2013,0,0,6,5,0,0,1,0,0,0,0,12,No
Memorial Hospital of Gardena,CA,Los Angeles,2014,0,0,6,6,0,0,1,0,0,1,0,14,No
Memorial Hospital of Gardena,CA,Los Angeles,2015,0,0,7,5,0,0,0,0,0,1,0,13,No
Memorial Hospital of Gardena,CA,Los Angeles,2016,0,0,16,6,0,0,0,0,1,3,1,27,No
Memorial Hospital of Gardena,CA,Los Angeles,2017,1,0,9,8,0,0,0,0,0,0,0,18,No
Mendocino Coast District Hospital,CA,Mendocino,2013,0,0,13,1,0,0,0,0,0,0,0,14,No
Mendocino Coast District Hospital,CA,Mendocino,2014,0,0,4,1,0,0,0,0,0,0,0,5,No
Mendocino Coast District Hospital,CA,Mendocino,2015,0,0,10,2,0,0,0,0,0,2,0,14,No
Mendocino Coast District Hospital,CA,Mendocino,2016,0,0,3,4,0,0,0,0,0,0,0,7,No
Mendocino Coast District Hospital,CA,Mendocino,2017,0,0,7,5,0,0,0,0,0,0,0,12,No
Menifee Valley Medical Center,CA,Riverside,2013,1,0,24,7,0,0,0,0,0,1,3,36,No
Menifee Valley Medical Center,CA,Riverside,2014,0,0,24,9,0,0,0,0,0,2,0,35,No
Menifee Valley Medical Center,CA,Riverside,2015,0,0,20,5,0,0,0,0,0,0,1,26,No
Menifee Valley Medical Center,CA,Riverside,2016,0,0,18,9,0,0,0,0,0,2,2,31,No
Menifee Valley Medical Center,CA,Riverside,2017,0,0,27,6,0,1,0,0,0,1,3,38,No
Menlo Park Surgical Hospital,CA,San Mateo,2013,0,0,37,0,0,0,0,0,0,0,0,37,No
Menlo Park Surgical Hospital,CA,San Mateo,2014,0,0,49,0,0,0,0,0,0,0,0,49,No
Menlo Park Surgical Hospital,CA,San Mateo,2015,0,0,42,0,0,0,0,0,0,0,0,42,No
Menlo Park Surgical Hospital,CA,San Mateo,2016,0,0,102,0,0,0,0,0,0,0,0,102,No
Menlo Park Surgical Hospital,CA,San Mateo,2017,0,0,122,0,0,0,0,0,0,0,0,122,No
Mercy General Hospital,CA,Sacramento,2013,3,9,168,40,0,0,0,1,23,20,4,268,No
Mercy General Hospital,CA,Sacramento,2014,2,20,148,42,0,1,2,0,5,15,5,240,No
Mercy General Hospital,CA,Sacramento,2015,0,9,101,35,0,0,0,1,3,18,2,169,No
Mercy General Hospital,CA,Sacramento,2016,0,11,120,56,0,3,0,6,5,29,4,234,No
Mercy General Hospital,CA,Sacramento,2017,0,10,71,51,0,1,0,1,2,30,4,170,No
Mercy Hospital of Folsom,CA,Sacramento,2015,1,0,36,16,0,0,0,0,24,0,0,77,No
Mercy Hospital of Folsom,CA,Sacramento,2016,1,0,45,11,0,2,0,1,16,6,0,82,No
Mercy Hospital of Folsom,CA,Sacramento,2017,5,0,45,11,0,0,0,0,27,4,0,92,No
Mercy Hospital – Bakersfield,CA,Kern,2013,1,2,100,18,0,0,4,0,17,5,2,149,No
Mercy Hospital – Bakersfield,CA,Kern,2014,0,3,107,16,0,1,4,0,20,5,0,156,No
Mercy Hospital – Bakersfield,CA,Kern,2015,0,1,82,11,0,0,3,0,15,3,1,116,No
Mercy Hospital – Bakersfield,CA,Kern,2016,1,7,64,14,0,0,1,1,10,3,0,101,No
Mercy Hospital – Bakersfield,CA,Kern,2017,1,6,63,18,0,1,0,1,12,6,1,109,No
Mercy Hospital – Folsom,CA,Sacramento,2013,2,0,24,14,0,0,0,0,33,2,0,75,No
Mercy Hospital – Folsom,CA,Sacramento,2014,2,0,40,14,0,0,0,0,51,2,0,109,No
Mercy Medical Center Mt. Shasta,CA,Siskiyou,2013,0,0,8,4,0,0,0,0,0,1,0,13,No
Mercy Medical Center Mt. Shasta,CA,Siskiyou,2014,0,0,2,2,0,0,0,0,0,1,0,5,No
Mercy Medical Center Mt. Shasta,CA,Siskiyou,2015,0,0,5,6,0,0,0,0,0,0,0,11,No
Mercy Medical Center Mt. Shasta,CA,Siskiyou,2016,0,0,9,3,0,0,0,0,0,2,0,14,No
Mercy Medical Center Mt. Shasta,CA,Siskiyou,2017,0,0,3,4,0,0,0,0,0,0,0,7,No
Mercy Medical Center – Merced,CA,Merced,2013,0,0,34,12,0,0,0,0,3,3,0,52,No
Mercy Medical Center – Merced,CA,Merced,2014,0,0,28,23,0,0,0,0,7,2,0,60,No
Mercy Medical Center – Merced,CA,Merced,2015,0,0,26,24,0,0,0,0,0,3,0,53,No
Mercy Medical Center – Merced,CA,Merced,2016,0,0,40,19,0,4,0,0,2,4,2,71,No
Mercy Medical Center – Merced,CA,Merced,2017,0,0,27,23,0,1,0,0,1,8,1,61,No
Mercy Medical Center – Redding,CA,Shasta,2013,4,21,50,34,0,0,30,0,42,10,1,192,No
Mercy Medical Center – Redding,CA,Shasta,2014,1,25,39,23,0,0,33,1,46,6,0,174,No
Mercy Medical Center – Redding,CA,Shasta,2015,2,9,19,17,0,0,31,0,36,3,1,118,No
Mercy Medical Center – Redding,CA,Shasta,2016,2,20,33,36,0,0,19,0,35,5,3,153,No
Mercy Medical Center – Redding,CA,Shasta,2017,0,26,27,27,0,2,22,2,26,5,0,137,No
Mercy San Juan Hospital,CA,Sacramento,2013,2,18,99,38,3,1,54,0,72,11,3,301,No
Mercy San Juan Hospital,CA,Sacramento,2014,0,31,68,29,2,1,31,1,51,6,5,225,No
Mercy San Juan Hospital,CA,Sacramento,2015,1,11,56,25,1,0,33,0,28,9,0,164,No
Mercy San Juan Hospital,CA,Sacramento,2016,2,24,86,40,8,0,49,0,46,19,1,275,No
Mercy San Juan Hospital,CA,Sacramento,2017,0,30,108,41,6,2,50,1,53,33,0,324,No
Methodist Hospital of Sacramento,CA,Sacramento,2013,0,0,151,19,0,0,0,2,0,4,3,179,No
Methodist Hospital of Sacramento,CA,Sacramento,2014,0,0,126,18,0,0,0,1,0,4,2,151,No
Methodist Hospital of Sacramento,CA,Sacramento,2015,0,0,69,14,0,0,0,0,0,2,4,89,No
Methodist Hospital of Sacramento,CA,Sacramento,2016,0,0,80,23,0,2,0,1,1,8,0,115,No
Methodist Hospital of Sacramento,CA,Sacramento,2017,1,0,102,12,0,0,0,1,0,4,3,123,No
Methodist Hospital of Southern California,CA,Los Angeles,2013,1,7,71,32,0,1,9,1,0,6,5,133,No
Methodist Hospital of Southern California,CA,Los Angeles,2014,1,6,60,41,0,0,5,2,0,10,1,126,No
Methodist Hospital of Southern California,CA,Los Angeles,2015,0,2,32,23,0,2,2,1,0,7,3,72,No
Methodist Hospital of Southern California,CA,Los Angeles,2016,0,11,47,48,1,6,2,2,0,25,5,147,No
Methodist Hospital of Southern California,CA,Los Angeles,2017,1,7,80,33,3,4,1,2,0,19,3,153,No
Mission Community Hospital – Panorama Campus,CA,Los Angeles,2013,1,0,6,5,0,0,0,0,25,0,0,37,No
Mission Community Hospital – Panorama Campus,CA,Los Angeles,2014,1,0,5,6,0,0,2,0,18,0,1,33,No
Mission Community Hospital – Panorama Campus,CA,Los Angeles,2015,0,1,2,2,0,0,0,0,0,0,0,5,No
Mission Community Hospital – Panorama Campus,CA,Los Angeles,2016,0,0,19,4,0,0,0,0,2,1,0,26,No
Mission Community Hospital – Panorama Campus,CA,Los Angeles,2017,0,0,18,5,0,0,0,0,2,0,0,25,No
Mission Hospital Laguna Beach,CA,Orange,2013,0,0,13,7,0,1,2,0,0,3,0,26,No
Mission Hospital Laguna Beach,CA,Orange,2014,0,0,9,4,0,0,0,0,0,2,0,15,No
Mission Hospital Laguna Beach,CA,Orange,2015,0,0,11,8,0,0,0,0,0,2,0,21,No
Mission Hospital Laguna Beach,CA,Orange,2016,0,0,4,8,0,0,0,0,0,2,0,14,No
Mission Hospital Laguna Beach,CA,Orange,2017,0,0,7,6,0,0,0,0,0,1,1,15,No
Mission Hospital Regional Medical Center,CA,Orange,2013,1,24,67,28,0,0,35,2,30,3,3,193,No
Mission Hospital Regional Medical Center,CA,Orange,2014,1,20,45,28,2,0,32,3,20,6,3,160,No
Mission Hospital Regional Medical Center,CA,Orange,2015,1,20,27,25,2,0,27,4,12,1,1,120,No
Mission Hospital Regional Medical Center,CA,Orange,2016,2,21,39,41,6,0,28,1,11,6,1,156,No
Mission Hospital Regional Medical Center,CA,Orange,2017,2,30,65,41,6,1,45,2,25,12,3,232,No
Monrovia Medical Center,CA,Los Angeles,2016,0,0,0,1,0,0,0,0,0,0,0,1,No
Montclair Hospital Medical Center,CA,San Bernardino,2013,0,0,13,1,0,0,0,0,0,0,0,14,No
Montclair Hospital Medical Center,CA,San Bernardino,2014,0,0,13,4,0,1,0,0,0,0,0,18,No
Montclair Hospital Medical Center,CA,San Bernardino,2015,0,0,7,3,0,0,0,0,0,0,0,10,No
Montclair Hospital Medical Center,CA,San Bernardino,2016,0,0,6,2,0,0,0,0,0,1,0,9,No
Montclair Hospital Medical Center,CA,San Bernardino,2017,0,0,2,1,0,0,0,0,0,2,0,5,No
Monterey Park Hospital,CA,Los Angeles,2013,0,0,17,5,0,0,0,0,0,1,1,24,No
Monterey Park Hospital,CA,Los Angeles,2014,0,0,33,11,0,0,1,0,0,3,2,50,No
Monterey Park Hospital,CA,Los Angeles,2015,0,0,29,10,0,1,0,1,0,1,0,42,No
Monterey Park Hospital,CA,Los Angeles,2016,1,0,37,11,0,1,1,0,1,6,0,58,No
Monterey Park Hospital,CA,Los Angeles,2017,0,0,25,11,0,2,3,0,0,3,1,45,No
Natividad Medical Center,CA,Monterey,2013,0,0,17,2,0,0,0,0,1,1,1,22,No
Natividad Medical Center,CA,Monterey,2014,0,0,14,7,0,0,0,0,0,3,0,24,No
Natividad Medical Center,CA,Monterey,2015,0,0,7,6,0,0,2,0,0,1,1,17,No
Natividad Medical Center,CA,Monterey,2016,0,0,6,6,0,1,2,0,1,3,1,20,No
Natividad Medical Center,CA,Monterey,2017,0,0,10,11,0,0,0,0,1,1,0,23,No
North Bay Medical Center,CA,Solano,2013,0,4,24,7,0,0,6,0,1,0,0,42,No
North Bay Medical Center,CA,Solano,2014,6,11,29,11,0,0,4,0,1,4,0,66,No
North Bay Medical Center,CA,Solano,2015,1,6,17,11,0,0,2,0,0,3,1,41,No
North Bay Medical Center,CA,Solano,2016,0,7,33,19,0,3,5,1,0,3,1,72,No
North Bay Medical Center,CA,Solano,2017,0,10,50,20,0,0,4,1,1,1,0,87,No
Northern Inyo Hospital,CA,Inyo,2013,0,0,6,4,0,0,0,0,0,0,0,10,No
Northern Inyo Hospital,CA,Inyo,2014,0,0,9,5,0,0,0,0,1,0,0,15,No
Northern Inyo Hospital,CA,Inyo,2015,0,0,2,1,0,0,0,0,0,1,0,4,No
Northern Inyo Hospital,CA,Inyo,2016,0,0,4,5,0,0,0,0,0,1,0,10,No
Northern Inyo Hospital,CA,Inyo,2017,0,0,9,4,0,0,0,0,0,0,0,13,No
Northridge Hospital Medical Center,CA,Los Angeles,2013,1,2,22,22,0,2,10,4,45,5,5,118,No
Northridge Hospital Medical Center,CA,Los Angeles,2014,0,8,30,20,1,1,7,4,20,5,3,99,No
Northridge Hospital Medical Center,CA,Los Angeles,2015,0,3,28,8,0,0,11,1,6,2,1,60,No
Northridge Hospital Medical Center,CA,Los Angeles,2016,0,5,28,13,1,0,7,4,3,6,4,71,No
Northridge Hospital Medical Center,CA,Los Angeles,2017,0,8,29,16,0,4,10,1,0,2,2,72,No
Norwalk Community Hospital,CA,Los Angeles,2013,0,0,1,1,0,0,0,0,0,1,1,4,No
Norwalk Community Hospital,CA,Los Angeles,2014,0,0,0,3,0,0,0,0,0,0,0,3,No
Norwalk Community Hospital,CA,Los Angeles,2015,0,0,1,0,0,0,0,0,0,1,0,2,No
Norwalk Community Hospital,CA,Los Angeles,2016,0,0,3,5,0,1,0,2,2,2,0,15,No
Norwalk Community Hospital,CA,Los Angeles,2017,0,0,2,0,0,1,1,0,1,5,1,11,No
Novato Community Hospital,CA,Marin,2013,0,0,14,2,0,0,0,0,0,1,0,17,No
Novato Community Hospital,CA,Marin,2014,0,0,6,3,0,0,0,0,1,0,0,10,No
Novato Community Hospital,CA,Marin,2015,0,0,0,3,0,0,0,0,0,1,0,4,No
Novato Community Hospital,CA,Marin,2016,0,0,0,1,0,0,0,0,2,0,0,3,No
Novato Community Hospital,CA,Marin,2017,0,0,14,3,0,0,0,0,0,1,0,18,No
Oak Valley District Hospital,CA,Stanislaus,2013,0,0,1,4,0,0,0,0,0,1,0,6,No
Oak Valley District Hospital,CA,Stanislaus,2014,0,0,3,5,0,0,0,0,0,1,0,9,No
Oak Valley District Hospital,CA,Stanislaus,2016,0,0,4,4,0,0,0,0,0,0,0,8,No
Oak Valley District Hospital,CA,Stanislaus,2017,0,0,4,3,0,0,0,0,0,1,0,8,No
Ojai Valley Community Hospital,CA,Ventura,2013,0,0,5,0,0,0,0,0,0,0,0,5,No
Ojai Valley Community Hospital,CA,Ventura,2014,0,0,0,3,0,0,0,0,0,0,0,3,No
Ojai Valley Community Hospital,CA,Ventura,2015,0,0,1,0,0,0,0,0,0,0,0,1,No
Ojai Valley Community Hospital,CA,Ventura,2016,0,0,1,1,0,0,0,0,0,0,0,2,No
Ojai Valley Community Hospital,CA,Ventura,2017,0,0,0,2,0,0,0,0,0,0,0,2,No
Olympia Medical Center,CA,Los Angeles,2013,0,0,16,5,0,0,0,0,0,0,2,23,No
Olympia Medical Center,CA,Los Angeles,2014,0,0,10,5,0,0,1,0,3,3,1,23,No
Olympia Medical Center,CA,Los Angeles,2015,0,0,7,5,0,0,0,0,2,1,1,16,No
Olympia Medical Center,CA,Los Angeles,2016,0,0,10,2,0,0,0,0,5,1,1,19,No
Olympia Medical Center,CA,Los Angeles,2017,2,0,21,5,0,0,2,0,11,2,1,44,No
Orange Coast Memorial Medical Center,CA,Orange,2013,2,13,124,48,0,33,26,13,24,22,17,322,No
Orange Coast Memorial Medical Center,CA,Orange,2014,4,10,100,46,0,30,21,26,2,30,11,280,No
Orange Coast Memorial Medical Center,CA,Orange,2015,1,5,111,51,0,25,15,7,9,18,6,248,No
Orange Coast Memorial Medical Center,CA,Orange,2016,2,11,158,62,1,36,19,17,16,21,8,351,No
Orange Coast Memorial Medical Center,CA,Orange,2017,3,9,150,45,1,38,16,12,21,19,8,322,No
Orange County Global Medical Center,CA,Orange,2015,0,4,8,1,0,0,0,1,1,0,0,15,No
Orange County Global Medical Center,CA,Orange,2016,0,8,19,4,0,0,1,0,0,1,0,33,No
Orange County Global Medical Center,CA,Orange,2017,0,6,21,5,0,1,1,0,0,3,2,39,No
Oroville Hospital,CA,Butte,2013,0,0,28,12,0,0,1,0,13,1,1,56,No
Oroville Hospital,CA,Butte,2014,0,0,22,11,0,1,1,0,23,1,1,60,No
Oroville Hospital,CA,Butte,2015,0,0,14,5,0,0,0,0,23,1,0,43,No
Oroville Hospital,CA,Butte,2016,1,0,41,9,0,0,1,0,24,4,4,84,No
Oroville Hospital,CA,Butte,2017,1,0,26,17,0,0,0,0,51,7,1,103,No
O’Connor Hospital,CA,Santa Clara,2013,1,7,88,41,1,2,17,5,0,11,7,180,No
O’Connor Hospital,CA,Santa Clara,2014,0,8,61,33,1,4,37,6,1,11,8,170,No
O’Connor Hospital,CA,Santa Clara,2015,1,4,46,21,0,6,23,4,0,8,3,116,No
O’Connor Hospital,CA,Santa Clara,2016,1,3,73,20,0,6,20,6,0,7,6,142,No
O’Connor Hospital,CA,Santa Clara,2017,0,4,34,23,0,3,18,4,1,11,3,101,No
PIH Hospital – Downey,CA,Los Angeles,2013,0,6,63,30,0,0,2,0,8,3,5,117,No
PIH Hospital – Downey,CA,Los Angeles,2014,3,4,45,24,0,0,2,0,3,3,4,88,No
PIH Hospital – Downey,CA,Los Angeles,2015,0,3,32,13,0,0,4,0,1,3,3,59,No
PIH Hospital – Downey,CA,Los Angeles,2016,1,5,44,19,0,0,4,0,1,4,10,88,No
PIH Hospital – Downey,CA,Los Angeles,2017,1,2,48,13,0,0,4,0,1,3,5,77,No
Pacific Alliance Medical Center,CA,Los Angeles,2013,0,2,10,6,0,0,0,0,1,1,3,23,No
Pacific Alliance Medical Center,CA,Los Angeles,2014,0,1,19,3,0,0,1,0,1,0,1,26,No
Pacific Alliance Medical Center,CA,Los Angeles,2015,0,1,16,4,0,0,4,0,1,0,1,27,No
Pacific Alliance Medical Center,CA,Los Angeles,2016,0,0,10,10,0,1,0,0,4,1,1,27,No
Pacific Alliance Medical Center,CA,Los Angeles,2017,0,0,8,7,0,1,0,0,0,0,1,17,No
Pacifica Hospital of the Valley,CA,Los Angeles,2013,0,0,3,3,0,0,0,0,0,0,0,6,No
Pacifica Hospital of the Valley,CA,Los Angeles,2014,0,0,1,3,0,0,0,0,0,0,2,6,No
Pacifica Hospital of the Valley,CA,Los Angeles,2015,0,0,5,0,0,0,0,0,0,0,0,5,No
Pacifica Hospital of the Valley,CA,Los Angeles,2016,0,0,7,0,0,0,0,0,0,1,0,8,No
Pacifica Hospital of the Valley,CA,Los Angeles,2017,0,0,6,1,0,0,0,0,0,0,0,7,No
Palm Drive Hospital,CA,Sonoma,2013,0,0,0,3,0,0,0,0,4,0,0,7,No
Palm Drive Hospital,CA,Sonoma,2014,0,0,2,2,0,0,0,0,0,1,0,5,No
Palm Drive Hospital,CA,Sonoma,2016,0,0,0,1,0,0,0,0,0,0,0,1,No
Palmdale Regional Medical Center,CA,Los Angeles,2013,0,3,3,13,0,0,3,0,0,3,3,28,No
Palmdale Regional Medical Center,CA,Los Angeles,2014,0,10,3,16,0,0,0,0,4,1,2,36,No
Palmdale Regional Medical Center,CA,Los Angeles,2015,0,0,1,8,0,1,3,1,5,0,2,21,No
Palmdale Regional Medical Center,CA,Los Angeles,2016,1,9,22,26,0,1,5,0,11,12,4,91,No
Palmdale Regional Medical Center,CA,Los Angeles,2017,0,4,19,31,0,1,2,0,11,8,0,76,No
Palo Verde Hospital,CA,Riverside,2013,0,0,2,4,0,1,0,0,0,0,0,7,No
Palo Verde Hospital,CA,Riverside,2014,0,0,2,4,0,0,0,0,1,1,0,8,No
Palo Verde Hospital,CA,Riverside,2015,0,0,1,7,0,0,0,0,1,1,0,10,No
Palo Verde Hospital,CA,Riverside,2016,0,0,0,1,0,0,0,0,2,0,0,3,No
Palo Verde Hospital,CA,Riverside,2017,0,0,1,1,0,0,0,0,0,1,0,3,No
Palomar Health Downtown Campus,CA,San Diego,2013,12,9,94,48,1,2,9,0,139,11,2,327,No
