Hospital Name,State,County,Latitude,Longitude,Year,Total Surgeries for All Cancer Types,Bladder,Brain,Breast,Colon,Esophagus,Liver,Lung,Pancreas,Prostate,Rectum,Stomach
Kaiser Foundation Hospital – Sunset,,Los Angeles,34.09823,-118.29545,2016,682,31,73,240,49,9,86,39,18,68,55,14
Kaiser Foundation Hospital – Sunset,,Los Angeles,34.09823,-118.29545,2017,740,29,73,278,57,8,89,46,19,77,43,21
Kaiser Foundation Hospital – Vacaville,,Solano,38.3894968,-121.9373177,2013,74,2,1,47,19,0,0,0,0,4,1,0
Kaiser Foundation Hospital – Vacaville,,Solano,38.3894968,-121.9373177,2014,82,7,10,49,15,0,0,0,0,1,0,0
Kaiser Foundation Hospital – Vacaville,,Solano,38.3894968,-121.9373177,2015,83,3,11,35,15,4,0,15,0,0,0,0
Kaiser Foundation Hospital – Vacaville,,Solano,38.3894968,-121.9373177,2016,38,3,15,2,13,0,0,0,0,2,2,1
Kaiser Foundation Hospital – Vacaville,,Solano,38.3894968,-121.9373177,2017,40,4,17,0,17,0,1,0,0,1,0,0
Kaiser Foundation Hospital – Walnut Creek,,Contra Costa,37.8923,-122.05828,2013,550,4,0,375,78,5,1,46,1,11,26,3
Kaiser Foundation Hospital – Walnut Creek,,Contra Costa,37.8923,-122.05828,2014,484,14,0,339,68,1,0,25,0,14,23,0
Kaiser Foundation Hospital – Walnut Creek,,Contra Costa,37.8923,-122.05828,2015,350,8,0,257,54,0,0,0,0,11,18,2
Kaiser Foundation Hospital – Walnut Creek,,Contra Costa,37.8923,-122.05828,2016,440,11,0,310,73,0,2,0,1,10,33,0
Kaiser Foundation Hospital – Walnut Creek,,Contra Costa,37.8923,-122.05828,2017,436,9,0,317,69,0,3,0,0,9,29,0
Kaiser Foundation Hospital – West Los Angeles,,Los Angeles,34.03793,-118.37568,2013,624,5,0,179,59,0,7,3,10,342,10,9
Kaiser Foundation Hospital – West Los Angeles,,Los Angeles,34.03793,-118.37568,2014,516,1,0,196,39,0,6,8,6,239,9,12
Kaiser Foundation Hospital – West Los Angeles,,Los Angeles,34.03793,-118.37568,2015,427,0,0,164,41,1,4,28,7,171,9,2
Kaiser Foundation Hospital – West Los Angeles,,Los Angeles,34.03793,-118.37568,2016,636,3,0,271,38,1,7,26,7,253,24,6
Kaiser Foundation Hospital – West Los Angeles,,Los Angeles,34.03793,-118.37568,2017,638,7,0,265,39,3,9,34,12,236,29,4
Kaiser Foundation Hospital – Woodland Hills,,Los Angeles,34.17198,-118.58829,2013,304,4,0,237,39,0,3,0,0,5,14,2
Kaiser Foundation Hospital – Woodland Hills,,Los Angeles,34.17198,-118.58829,2014,320,9,0,233,41,0,4,0,2,9,15,7
Kaiser Foundation Hospital – Woodland Hills,,Los Angeles,34.17198,-118.58829,2015,252,7,0,196,30,0,2,0,2,4,10,1
Kaiser Foundation Hospital – Woodland Hills,,Los Angeles,34.17198,-118.58829,2016,320,9,0,232,50,0,3,0,0,8,17,1
Kaiser Foundation Hospital – Woodland Hills,,Los Angeles,34.17198,-118.58829,2017,378,3,0,300,40,0,3,0,0,8,21,3
Kaweah Delta Medical Center,,Tulare,36.32753,-119.29345,2013,223,3,0,137,33,1,0,12,0,25,11,1
Kaweah Delta Medical Center,,Tulare,36.32753,-119.29345,2014,211,2,0,99,53,1,0,9,0,33,11,3
Kaweah Delta Medical Center,,Tulare,36.32753,-119.29345,2015,146,4,4,85,17,0,0,5,0,21,9,1
Kaweah Delta Medical Center,,Tulare,36.32753,-119.29345,2016,260,3,10,138,49,1,2,7,2,26,17,5
Kaweah Delta Medical Center,,Tulare,36.32753,-119.29345,2017,215,0,0,124,37,0,2,3,2,23,16,8
Keck Hospital of University of Southern California,,Los Angeles,34.06284,-118.20287,2013,934,135,51,97,34,44,87,35,32,361,35,23
Keck Hospital of University of Southern California,,Los Angeles,34.06284,-118.20287,2014,937,153,65,98,27,45,116,34,41,304,27,27
Keck Hospital of University of Southern California,,Los Angeles,34.06284,-118.20287,2015,729,123,33,67,26,19,67,21,30,278,45,20
Keck Hospital of University of Southern California,,Los Angeles,34.06284,-118.20287,2016,1146,177,70,114,65,21,103,24,41,435,75,21
Keck Hospital of University of Southern California,,Los Angeles,34.06284,-118.20287,2017,1016,162,67,105,57,26,95,29,48,341,75,11
Kern Medical Center,,Kern,35.380833,-118.967222,2013,50,0,3,31,6,0,2,1,0,0,3,4
Kern Medical Center,,Kern,35.380833,-118.967222,2014,81,0,5,52,11,0,5,2,1,0,3,2
Kern Medical Center,,Kern,35.380833,-118.967222,2015,46,0,2,32,5,0,3,0,2,0,2,0
Kern Medical Center,,Kern,35.380833,-118.967222,2016,71,0,2,34,12,1,6,2,1,10,3,0
Kern Medical Center,,Kern,35.380833,-118.967222,2017,81,1,5,43,5,2,4,2,1,12,5,1
La Palma Intercommunity Hospital,,Orange,33.8485,-118.03737,2013,5,0,0,0,2,0,0,1,0,0,0,2
La Palma Intercommunity Hospital,,Orange,33.8485,-118.03737,2014,7,0,0,2,4,0,0,0,0,0,0,1
La Palma Intercommunity Hospital,,Orange,33.8485,-118.03737,2015,10,0,0,0,7,0,0,0,0,0,1,2
La Palma Intercommunity Hospital,,Orange,33.8485,-118.03737,2016,10,0,0,0,6,0,1,0,0,0,3,0
La Palma Intercommunity Hospital,,Orange,33.8485,-118.03737,2017,9,0,0,1,7,0,0,0,0,0,0,1
Lakewood Regional Medical Center,,Los Angeles,33.86016,-118.14837,2013,61,0,5,20,22,1,0,5,0,2,0,6
Lakewood Regional Medical Center,,Los Angeles,33.86016,-118.14837,2014,90,0,9,33,20,2,1,8,1,13,0,3
Lakewood Regional Medical Center,,Los Angeles,33.86016,-118.14837,2015,59,0,1,19,13,0,0,5,0,18,1,2
Lakewood Regional Medical Center,,Los Angeles,33.86016,-118.14837,2016,80,2,5,29,19,1,1,6,3,6,4,4
Lakewood Regional Medical Center,,Los Angeles,33.86016,-118.14837,2017,77,0,4,20,19,2,1,7,2,5,9,8
Lodi Memorial Hospital,,San Joaquin,38.12146,-121.2859,2013,75,3,0,29,21,0,0,4,0,17,0,1
Lodi Memorial Hospital,,San Joaquin,38.12146,-121.2859,2014,58,2,0,33,10,0,0,1,0,9,3,0
Lodi Memorial Hospital,,San Joaquin,38.12146,-121.2859,2015,41,1,0,22,9,0,0,2,0,4,2,1
Lodi Memorial Hospital,,San Joaquin,38.12146,-121.2859,2016,78,4,0,28,13,0,2,0,1,25,4,1
Lodi Memorial Hospital,,San Joaquin,38.12146,-121.2859,2017,64,2,0,18,14,0,0,0,0,27,3,0
Loma Linda University Medical Center,,San Bernardino,34.05164,-117.26146,2013,420,29,34,137,42,3,27,29,13,88,14,4
Loma Linda University Medical Center,,San Bernardino,34.05164,-117.26146,2014,401,24,30,143,41,5,14,28,13,72,24,7
Loma Linda University Medical Center,,San Bernardino,34.05164,-117.26146,2015,331,21,41,100,30,3,18,23,15,63,12,5
Loma Linda University Medical Center,,San Bernardino,34.05164,-117.26146,2016,534,33,52,152,44,9,43,33,23,105,33,7
Loma Linda University Medical Center,,San Bernardino,34.05164,-117.26146,2017,601,24,70,187,51,6,42,31,19,119,42,10
Loma Linda University Medical Center – Murrieta,,Riverside,33.6122263,-117.1624483,2013,108,0,3,66,22,0,1,7,0,0,7,2
Loma Linda University Medical Center – Murrieta,,Riverside,33.6122263,-117.1624483,2014,139,0,10,83,20,0,0,17,0,1,6,2
Loma Linda University Medical Center – Murrieta,,Riverside,33.6122263,-117.1624483,2015,115,0,3,52,28,0,1,17,0,7,7,0
Loma Linda University Medical Center – Murrieta,,Riverside,33.6122263,-117.1624483,2016,156,1,10,84,26,0,0,8,0,12,13,2
Loma Linda University Medical Center – Murrieta,,Riverside,33.6122263,-117.1624483,2017,136,0,8,78,36,0,0,3,0,5,5,1
Lompoc Valley Medical Center,,Santa Barbara,34.639252,-120.4396497,2013,20,0,0,7,10,0,0,0,0,0,1,2
Lompoc Valley Medical Center,,Santa Barbara,34.639252,-120.4396497,2014,26,0,0,11,13,0,0,0,0,0,2,0
Lompoc Valley Medical Center,,Santa Barbara,34.639252,-120.4396497,2015,18,0,0,6,11,0,0,0,0,0,1,0
Lompoc Valley Medical Center,,Santa Barbara,34.639252,-120.4396497,2016,19,0,0,3,15,0,0,0,0,0,0,1
Lompoc Valley Medical Center,,Santa Barbara,34.639252,-120.4396497,2017,26,0,0,11,11,0,1,0,0,0,3,0
Long Beach Memorial Medical Center,,Los Angeles,33.80801,-118.1852,2013,383,1,18,221,67,1,2,36,1,16,17,3
Long Beach Memorial Medical Center,,Los Angeles,33.80801,-118.1852,2014,409,0,26,239,51,0,4,48,2,14,22,3
Long Beach Memorial Medical Center,,Los Angeles,33.80801,-118.1852,2015,312,0,15,176,54,0,6,25,0,9,22,5
Long Beach Memorial Medical Center,,Los Angeles,33.80801,-118.1852,2016,480,1,27,266,79,3,9,28,1,20,39,7
Long Beach Memorial Medical Center,,Los Angeles,33.80801,-118.1852,2017,443,0,31,227,65,2,7,41,0,19,44,7
Los Alamitos Medical Center,,Orange,33.80327,-118.0674,2013,160,1,3,99,19,0,2,9,0,18,8,1
Los Alamitos Medical Center,,Orange,33.80327,-118.0674,2014,175,0,8,109,18,0,1,3,1,26,5,4
Los Alamitos Medical Center,,Orange,33.80327,-118.0674,2015,161,0,9,96,20,0,2,4,1,24,4,1
Los Alamitos Medical Center,,Orange,33.80327,-118.0674,2016,239,4,11,139,22,0,3,1,2,41,13,3
Los Alamitos Medical Center,,Orange,33.80327,-118.0674,2017,262,1,10,162,24,0,2,5,0,52,5,1
Los Angeles Community Hospital,,Los Angeles,34.01897,-118.1875,2013,3,0,0,1,2,0,0,0,0,0,0,0
Los Angeles Community Hospital,,Los Angeles,34.01897,-118.1875,2014,12,1,0,3,7,0,0,0,0,0,1,0
Los Angeles Community Hospital,,Los Angeles,34.01897,-118.1875,2015,6,0,0,1,3,0,0,2,0,0,0,0
Los Angeles Community Hospital,,Los Angeles,34.01897,-118.1875,2016,13,1,0,1,5,0,0,0,0,2,3,1
Los Angeles Community Hospital,,Los Angeles,34.01897,-118.1875,2017,15,0,0,1,4,0,0,0,0,6,4,0
Los Angeles County/Harbor – UCLA Medical Center,,Los Angeles,33.83149,-118.29332,2013,249,6,24,116,30,1,6,6,3,23,18,16
Los Angeles County/Harbor – UCLA Medical Center,,Los Angeles,33.83149,-118.29332,2014,233,3,14,109,42,1,2,8,5,25,18,6
Los Angeles County/Harbor – UCLA Medical Center,,Los Angeles,33.83149,-118.29332,2015,133,1,19,61,11,0,2,7,4,11,12,5
Los Angeles County/Harbor – UCLA Medical Center,,Los Angeles,33.83149,-118.29332,2016,198,0,18,89,29,1,4,1,8,22,23,3
Los Angeles County/Harbor – UCLA Medical Center,,Los Angeles,33.83149,-118.29332,2017,210,0,14,107,37,0,6,3,4,13,18,8
Los Angeles County/Olive View – UCLA Medical Center,,Los Angeles,34.32418,-118.45255,2013,207,12,0,111,35,1,4,5,2,15,12,10
Los Angeles County/Olive View – UCLA Medical Center,,Los Angeles,34.32418,-118.45255,2014,198,3,0,104,36,2,6,4,2,10,14,17
Los Angeles County/Olive View – UCLA Medical Center,,Los Angeles,34.32418,-118.45255,2015,134,1,0,81,15,0,10,3,1,10,7,6
Los Angeles County/Olive View – UCLA Medical Center,,Los Angeles,34.32418,-118.45255,2016,139,4,0,81,16,1,1,4,3,8,14,7
Los Angeles County/Olive View – UCLA Medical Center,,Los Angeles,34.32418,-118.45255,2017,156,4,0,96,15,3,4,4,1,5,17,7
Los Angeles County/Rancho Los Amigos National Rehabilitation Center,,Los Angeles,33.92723,-118.15795,2016,1,0,1,0,0,0,0,0,0,0,0,0
Los Angeles County/University of Southern California Medical Center,,Los Angeles,34.05982,-118.21031,2013,361,13,63,142,48,2,19,8,15,12,25,14
Los Angeles County/University of Southern California Medical Center,,Los Angeles,34.05982,-118.21031,2014,324,10,33,131,45,2,18,9,8,28,21,19
Los Angeles County/University of Southern California Medical Center,,Los Angeles,34.05982,-118.21031,2015,226,2,25,105,37,0,9,4,9,19,7,9
Los Angeles County/University of Southern California Medical Center,,Los Angeles,34.05982,-118.21031,2016,305,12,47,126,36,0,12,11,7,18,31,5
Los Angeles County/University of Southern California Medical Center,,Los Angeles,34.05982,-118.21031,2017,304,5,39,119,40,2,9,9,12,29,27,13
Los Robles Hospital and Medical Center,,Ventura,34.20539,-118.89297,2013,301,1,4,173,38,1,4,17,7,41,11,4
Los Robles Hospital and Medical Center,,Ventura,34.20539,-118.89297,2014,246,0,7,136,33,0,1,11,6,42,9,1
Los Robles Hospital and Medical Center,,Ventura,34.20539,-118.89297,2015,223,2,7,97,33,1,4,11,3,53,9,3
Los Robles Hospital and Medical Center,,Ventura,34.20539,-118.89297,2016,238,0,19,96,43,2,4,19,3,41,7,4
Los Robles Hospital and Medical Center,,Ventura,34.20539,-118.89297,2017,297,2,17,140,40,0,8,19,6,48,16,1
Mad River Community Hospital,,Humboldt,40.90351,-124.09038,2013,13,0,0,3,9,1,0,0,0,0,0,0
Mad River Community Hospital,,Humboldt,40.90351,-124.09038,2014,9,0,0,3,5,0,0,0,0,0,1,0
Mad River Community Hospital,,Humboldt,40.90351,-124.09038,2015,19,0,0,9,5,0,0,3,0,0,1,1
Mad River Community Hospital,,Humboldt,40.90351,-124.09038,2016,13,0,0,7,5,0,0,0,0,0,1,0
Mad River Community Hospital,,Humboldt,40.90351,-124.09038,2017,6,0,0,3,1,1,0,0,0,0,1,0
Madera Community Hospital,,Madera,36.94535,-120.04561,2013,36,0,0,28,8,0,0,0,0,0,0,0
Madera Community Hospital,,Madera,36.94535,-120.04561,2014,31,0,0,16,11,0,0,0,0,0,4,0
Madera Community Hospital,,Madera,36.94535,-120.04561,2015,20,0,0,11,9,0,0,0,0,0,0,0
Madera Community Hospital,,Madera,36.94535,-120.04561,2016,41,0,0,18,12,0,1,0,0,4,6,0
Madera Community Hospital,,Madera,36.94535,-120.04561,2017,37,0,0,14,15,0,4,0,0,0,3,1
Mammoth Hospital,,Mono,37.64524,-118.96408,2013,6,0,0,0,0,0,0,0,0,6,0,0
Mammoth Hospital,,Mono,37.64524,-118.96408,2014,3,0,0,0,0,0,0,0,0,3,0,0
Mammoth Hospital,,Mono,37.64524,-118.96408,2015,3,0,0,0,0,0,0,0,0,3,0,0
Marian Regional Medical Center,,Santa Barbara,34.95198,-120.41338,2013,167,0,3,106,23,0,0,4,0,27,2,2
Marian Regional Medical Center,,Santa Barbara,34.95198,-120.41338,2014,213,1,6,152,32,0,0,4,0,14,3,1
Marian Regional Medical Center,,Santa Barbara,34.95198,-120.41338,2015,197,1,3,138,22,0,0,5,0,25,3,0
Marian Regional Medical Center,,Santa Barbara,34.95198,-120.41338,2016,313,5,6,196,41,0,2,3,0,49,9,2
Marian Regional Medical Center,,Santa Barbara,34.95198,-120.41338,2017,270,0,7,190,24,0,0,3,0,40,3,3
Marian Regional Medical Center – Arroyo Grande,,San Luis Obispo,35.11369,-120.59147,2013,32,0,0,6,11,1,1,8,0,0,3,2
Marian Regional Medical Center – Arroyo Grande,,San Luis Obispo,35.11369,-120.59147,2014,18,0,0,0,12,1,0,2,1,0,0,2
Marian Regional Medical Center – Arroyo Grande,,San Luis Obispo,35.11369,-120.59147,2015,16,0,0,3,8,0,0,4,0,0,0,1
Marian Regional Medical Center – Arroyo Grande,,San Luis Obispo,35.11369,-120.59147,2016,35,0,0,12,11,0,0,8,2,1,1,0
Marian Regional Medical Center – Arroyo Grande,,San Luis Obispo,35.11369,-120.59147,2017,25,0,0,6,9,1,0,2,3,0,3,1
Marin General Hospital,,Marin,37.94651,-122.53715,2013,194,1,9,137,17,0,1,1,0,22,5,1
Marin General Hospital,,Marin,37.94651,-122.53715,2014,219,7,12,138,21,0,1,8,4,25,3,0
Marin General Hospital,,Marin,37.94651,-122.53715,2015,202,10,6,141,18,0,2,6,2,13,4,0
Marin General Hospital,,Marin,37.94651,-122.53715,2016,274,10,13,191,11,0,0,1,0,43,4,1
Marin General Hospital,,Marin,37.94651,-122.53715,2017,203,5,13,142,9,0,0,5,1,26,1,1
Marina Del Rey Hospital,,Los Angeles,33.98125,-118.43971,2013,64,0,0,44,10,0,0,2,0,6,2,0
Marina Del Rey Hospital,,Los Angeles,33.98125,-118.43971,2014,57,0,0,32,12,0,0,6,0,1,5,1
Marina Del Rey Hospital,,Los Angeles,33.98125,-118.43971,2015,37,0,0,20,11,0,0,2,0,1,2,1
Marina Del Rey Hospital,,Los Angeles,33.98125,-118.43971,2016,34,0,0,21,6,0,1,3,0,0,3,0
Marina Del Rey Hospital,,Los Angeles,33.98125,-118.43971,2017,29,0,0,21,5,0,0,1,0,0,2,0
Mark Twain Medical Center,,Calaveras,38.19021,-120.67105,2013,11,0,0,9,2,0,0,0,0,0,0,0
Mark Twain Medical Center,,Calaveras,38.19021,-120.67105,2014,18,0,0,15,3,0,0,0,0,0,0,0
Mark Twain Medical Center,,Calaveras,38.19021,-120.67105,2015,13,0,0,11,1,0,0,0,0,0,1,0
Mark Twain Medical Center,,Calaveras,38.19021,-120.67105,2016,18,0,0,15,3,0,0,0,0,0,0,0
Mark Twain Medical Center,,Calaveras,38.19021,-120.67105,2017,6,0,0,4,2,0,0,0,0,0,0,0
Marshall Medical Center,,El Dorado,38.72557326,-120.7909638,2013,74,0,0,45,19,0,0,3,0,1,5,1
Marshall Medical Center,,El Dorado,38.72557326,-120.7909638,2014,61,0,0,32,10,0,0,5,1,11,2,0
Marshall Medical Center,,El Dorado,38.72557326,-120.7909638,2015,42,0,0,22,8,0,0,3,0,3,6,0
Marshall Medical Center,,El Dorado,38.72557326,-120.7909638,2016,98,0,0,51,21,0,3,2,0,15,3,3
Marshall Medical Center,,El Dorado,38.72557326,-120.7909638,2017,88,1,0,55,7,0,1,5,1,13,5,0
Memorial Hospital Los Banos,,Merced,37.06273,-120.86147,2013,6,0,0,6,0,0,0,0,0,0,0,0
Memorial Hospital Los Banos,,Merced,37.06273,-120.86147,2014,5,0,0,5,0,0,0,0,0,0,0,0
Memorial Hospital Los Banos,,Merced,37.06273,-120.86147,2015,2,0,0,1,1,0,0,0,0,0,0,0
Memorial Hospital Los Banos,,Merced,37.06273,-120.86147,2017,5,0,0,1,4,0,0,0,0,0,0,0
Memorial Hospital Medical Center – Modesto,,Stanislaus,37.66727,-120.97546,2013,229,0,10,134,42,1,0,11,4,7,17,3
Memorial Hospital Medical Center – Modesto,,Stanislaus,37.66727,-120.97546,2014,226,0,4,152,37,1,0,14,5,0,12,1
Memorial Hospital Medical Center – Modesto,,Stanislaus,37.66727,-120.97546,2015,151,0,3,102,24,0,0,9,1,1,9,2
Memorial Hospital Medical Center – Modesto,,Stanislaus,37.66727,-120.97546,2016,217,0,10,111,49,2,4,12,4,3,20,2
Memorial Hospital Medical Center – Modesto,,Stanislaus,37.66727,-120.97546,2017,247,1,13,150,42,1,2,9,6,4,17,2
Memorial Hospital of Gardena,,Los Angeles,33.89246,-118.29493,2013,12,0,0,6,5,0,0,1,0,0,0,0
Memorial Hospital of Gardena,,Los Angeles,33.89246,-118.29493,2014,14,0,0,6,6,0,0,1,0,0,1,0
Memorial Hospital of Gardena,,Los Angeles,33.89246,-118.29493,2015,13,0,0,7,5,0,0,0,0,0,1,0
Memorial Hospital of Gardena,,Los Angeles,33.89246,-118.29493,2016,27,0,0,16,6,0,0,0,0,1,3,1
Memorial Hospital of Gardena,,Los Angeles,33.89246,-118.29493,2017,18,1,0,9,8,0,0,0,0,0,0,0
Mendocino Coast District Hospital,,Mendocino,39.4326,-123.80068,2013,14,0,0,13,1,0,0,0,0,0,0,0
Mendocino Coast District Hospital,,Mendocino,39.4326,-123.80068,2014,5,0,0,4,1,0,0,0,0,0,0,0
Mendocino Coast District Hospital,,Mendocino,39.4326,-123.80068,2015,14,0,0,10,2,0,0,0,0,0,2,0
Mendocino Coast District Hospital,,Mendocino,39.4326,-123.80068,2016,7,0,0,3,4,0,0,0,0,0,0,0
Mendocino Coast District Hospital,,Mendocino,39.4326,-123.80068,2017,12,0,0,7,5,0,0,0,0,0,0,0
Menifee Valley Medical Center,,Riverside,33.72146,-117.15691,2013,36,1,0,24,7,0,0,0,0,0,1,3
Menifee Valley Medical Center,,Riverside,33.72146,-117.15691,2014,35,0,0,24,9,0,0,0,0,0,2,0
Menifee Valley Medical Center,,Riverside,33.72146,-117.15691,2015,26,0,0,20,5,0,0,0,0,0,0,1
Menifee Valley Medical Center,,Riverside,33.72146,-117.15691,2016,31,0,0,18,9,0,0,0,0,0,2,2
Menifee Valley Medical Center,,Riverside,33.72146,-117.15691,2017,38,0,0,27,6,0,1,0,0,0,1,3
Menlo Park Surgical Hospital,,San Mateo,37.45797,-122.16212,2013,37,0,0,37,0,0,0,0,0,0,0,0
Menlo Park Surgical Hospital,,San Mateo,37.45797,-122.16212,2014,49,0,0,49,0,0,0,0,0,0,0,0
Menlo Park Surgical Hospital,,San Mateo,37.45797,-122.16212,2015,42,0,0,42,0,0,0,0,0,0,0,0
Menlo Park Surgical Hospital,,San Mateo,37.45797,-122.16212,2016,102,0,0,102,0,0,0,0,0,0,0,0
Menlo Park Surgical Hospital,,San Mateo,37.45797,-122.16212,2017,122,0,0,122,0,0,0,0,0,0,0,0
Mercy General Hospital,,Sacramento,38.56955,-121.45271,2013,268,3,9,168,40,0,0,0,1,23,20,4
Mercy General Hospital,,Sacramento,38.56955,-121.45271,2014,240,2,20,148,42,0,1,2,0,5,15,5
Mercy General Hospital,,Sacramento,38.56955,-121.45271,2015,169,0,9,101,35,0,0,0,1,3,18,2
Mercy General Hospital,,Sacramento,38.56955,-121.45271,2016,234,0,11,120,56,0,3,0,6,5,29,4
Mercy General Hospital,,Sacramento,38.56955,-121.45271,2017,170,0,10,71,51,0,1,0,1,2,30,4
Mercy Hospital of Folsom,,Sacramento,38.67223,-121.1428,2015,77,1,0,36,16,0,0,0,0,24,0,0
Mercy Hospital of Folsom,,Sacramento,38.67223,-121.1428,2016,82,1,0,45,11,0,2,0,1,16,6,0
Mercy Hospital of Folsom,,Sacramento,38.67223,-121.1428,2017,92,5,0,45,11,0,0,0,0,27,4,0
Mercy Hospital – Bakersfield,,Kern,35.37323,-119.02715,2013,149,1,2,100,18,0,0,4,0,17,5,2
Mercy Hospital – Bakersfield,,Kern,35.37323,-119.02715,2014,156,0,3,107,16,0,1,4,0,20,5,0
Mercy Hospital – Bakersfield,,Kern,35.37323,-119.02715,2015,116,0,1,82,11,0,0,3,0,15,3,1
Mercy Hospital – Bakersfield,,Kern,35.37323,-119.02715,2016,101,1,7,64,14,0,0,1,1,10,3,0
Mercy Hospital – Bakersfield,,Kern,35.37323,-119.02715,2017,109,1,6,63,18,0,1,0,1,12,6,1
Mercy Hospital – Folsom,,Sacramento,38.67223,-121.1428,2013,75,2,0,24,14,0,0,0,0,33,2,0
Mercy Hospital – Folsom,,Sacramento,38.67223,-121.1428,2014,109,2,0,40,14,0,0,0,0,51,2,0
Mercy Medical Center Mt. Shasta,,Siskiyou,41.31896,-122.323,2013,13,0,0,8,4,0,0,0,0,0,1,0
Mercy Medical Center Mt. Shasta,,Siskiyou,41.31896,-122.323,2014,5,0,0,2,2,0,0,0,0,0,1,0
Mercy Medical Center Mt. Shasta,,Siskiyou,41.31896,-122.323,2015,11,0,0,5,6,0,0,0,0,0,0,0
Mercy Medical Center Mt. Shasta,,Siskiyou,41.31896,-122.323,2016,14,0,0,9,3,0,0,0,0,0,2,0
Mercy Medical Center Mt. Shasta,,Siskiyou,41.31896,-122.323,2017,7,0,0,3,4,0,0,0,0,0,0,0
Mercy Medical Center – Merced,,Merced,37.3402309,-120.4651815,2013,52,0,0,34,12,0,0,0,0,3,3,0
Mercy Medical Center – Merced,,Merced,37.3402309,-120.4651815,2014,60,0,0,28,23,0,0,0,0,7,2,0
Mercy Medical Center – Merced,,Merced,37.3402309,-120.4651815,2015,53,0,0,26,24,0,0,0,0,0,3,0
Mercy Medical Center – Merced,,Merced,37.3402309,-120.4651815,2016,71,0,0,40,19,0,4,0,0,2,4,2
Mercy Medical Center – Merced,,Merced,37.3402309,-120.4651815,2017,61,0,0,27,23,0,1,0,0,1,8,1
Mercy Medical Center – Redding,,Shasta,40.57204,-122.39742,2013,192,4,21,50,34,0,0,30,0,42,10,1
Mercy Medical Center – Redding,,Shasta,40.57204,-122.39742,2014,174,1,25,39,23,0,0,33,1,46,6,0
Mercy Medical Center – Redding,,Shasta,40.57204,-122.39742,2015,118,2,9,19,17,0,0,31,0,36,3,1
Mercy Medical Center – Redding,,Shasta,40.57204,-122.39742,2016,153,2,20,33,36,0,0,19,0,35,5,3
Mercy Medical Center – Redding,,Shasta,40.57204,-122.39742,2017,137,0,26,27,27,0,2,22,2,26,5,0
Mercy San Juan Hospital,,Sacramento,38.66818,-121.31261,2013,301,2,18,99,38,3,1,54,0,72,11,3
Mercy San Juan Hospital,,Sacramento,38.66818,-121.31261,2014,225,0,31,68,29,2,1,31,1,51,6,5
Mercy San Juan Hospital,,Sacramento,38.66818,-121.31261,2015,164,1,11,56,25,1,0,33,0,28,9,0
Mercy San Juan Hospital,,Sacramento,38.66818,-121.31261,2016,275,2,24,86,40,8,0,49,0,46,19,1
Mercy San Juan Hospital,,Sacramento,38.66818,-121.31261,2017,324,0,30,108,41,6,2,50,1,53,33,0
Methodist Hospital of Sacramento,,Sacramento,38.46416,-121.41744,2013,179,0,0,151,19,0,0,0,2,0,4,3
Methodist Hospital of Sacramento,,Sacramento,38.46416,-121.41744,2014,151,0,0,126,18,0,0,0,1,0,4,2
Methodist Hospital of Sacramento,,Sacramento,38.46416,-121.41744,2015,89,0,0,69,14,0,0,0,0,0,2,4
Methodist Hospital of Sacramento,,Sacramento,38.46416,-121.41744,2016,115,0,0,80,23,0,2,0,1,1,8,0
Methodist Hospital of Sacramento,,Sacramento,38.46416,-121.41744,2017,123,1,0,102,12,0,0,0,1,0,4,3
Methodist Hospital of Southern California,,Los Angeles,34.13603,-118.03879,2013,133,1,7,71,32,0,1,9,1,0,6,5
Methodist Hospital of Southern California,,Los Angeles,34.13603,-118.03879,2014,126,1,6,60,41,0,0,5,2,0,10,1
Methodist Hospital of Southern California,,Los Angeles,34.13603,-118.03879,2015,72,0,2,32,23,0,2,2,1,0,7,3
Methodist Hospital of Southern California,,Los Angeles,34.13603,-118.03879,2016,147,0,11,47,48,1,6,2,2,0,25,5
Methodist Hospital of Southern California,,Los Angeles,34.13603,-118.03879,2017,153,1,7,80,33,3,4,1,2,0,19,3
Mission Community Hospital – Panorama Campus,,Los Angeles,34.22138,-118.45639,2013,37,1,0,6,5,0,0,0,0,25,0,0
Mission Community Hospital – Panorama Campus,,Los Angeles,34.22138,-118.45639,2014,33,1,0,5,6,0,0,2,0,18,0,1
Mission Community Hospital – Panorama Campus,,Los Angeles,34.22138,-118.45639,2015,5,0,1,2,2,0,0,0,0,0,0,0
Mission Community Hospital – Panorama Campus,,Los Angeles,34.22138,-118.45639,2016,26,0,0,19,4,0,0,0,0,2,1,0
Mission Community Hospital – Panorama Campus,,Los Angeles,34.22138,-118.45639,2017,25,0,0,18,5,0,0,0,0,2,0,0
Mission Hospital Laguna Beach,,Orange,33.4997391,-117.7422502,2013,26,0,0,13,7,0,1,2,0,0,3,0
Mission Hospital Laguna Beach,,Orange,33.4997391,-117.7422502,2014,15,0,0,9,4,0,0,0,0,0,2,0
Mission Hospital Laguna Beach,,Orange,33.4997391,-117.7422502,2015,21,0,0,11,8,0,0,0,0,0,2,0
Mission Hospital Laguna Beach,,Orange,33.4997391,-117.7422502,2016,14,0,0,4,8,0,0,0,0,0,2,0
Mission Hospital Laguna Beach,,Orange,33.4997391,-117.7422502,2017,15,0,0,7,6,0,0,0,0,0,1,1
